date,num_actions,position_category,price_index,external_index_data_minimal_price,external_index_data_price_index_value,self_marketplaces_index_data_minimal_price,self_marketplaces_index_data_price_index_value,marketing_seller_price,marketing_price,conv_tocart,conv_tocart_pdp,hits_tocart,hits_tocart_pdp,hits_view_search,shop_id,offer_id,title,warehouse_name,delivery_schema,gross_profit,sales_profit,prime_cost_of_paid,prime_cost_of_return,cancellation_processing,seller_bonuses_cost,cross_docking_cost_prod,gds_net_profit_after_tax,gds_profitability_after_tax,other_cost_prod,placement_cost_prod,promotion_advertising_prod,promotion_reviews_prod,shop_net_profit_after_tax,shop_net_profit_bfr_tax,shop_profitability_after_tax,gds_net_profit_bfr_tax,sum_installment_sale_cost_orders_commission_acquiring_cost_prod_direct_logistics_reverse_logistics_returns_commission_last_mile,accruals,TARGET
2023-09-01,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ХОРУГВИНО,FBO,14344.920000000002,6432.924999999998,-9520.560000000001,604.48,-250.0,-59.825,-269.0893690003581,3260.0989974322974,1289.37,-53.104987785182615,-205.189640283468,-2383.553829476115,-57.14494295350291,6432.924999999998,6432.924999999998,2203.36,3260.0989974322974,-7806.9132330690745,23261.0,67
2023-09-02,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",САНКТ-ПЕТЕРБУРГ,FBO,13220.64,6222.8099999999995,-8160.4800000000005,151.12,-150.0,-50.4,-245.59422655421534,3327.014632882837,998.0199999999998,-48.46820388974793,-187.27380865904416,-2175.437332865222,-52.15541631498503,6222.8099999999995,6222.8099999999995,1748.27,3327.014632882837,-6984.2963788339475,21230.0,55
2023-09-03,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",САНКТ-ПЕТЕРБУРГ,FBO,13498.279999999997,6480.179999999999,-8613.840000000002,151.12,0.0,-60.75000000000001,-254.0506269127236,3484.67542829675,949.9199999999996,-50.13708081124607,-193.7220966538516,-2250.3428764509245,-53.95125283529845,6480.179999999999,6480.179999999999,1741.05,3484.67542829675,-7150.650638039206,21961.0,58
2023-09-04,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ЖУКОВСКИЙ,FBO,12140.90001464844,5650.670014648436,-7858.240000000001,0.0,-50.0,-48.6,-231.35531434983713,2922.765304297688,802.21,-45.658143940160016,-176.41616205599178,-2049.311154642719,-49.131581413361516,5650.670014648436,5650.670014648436,1511.5,2922.765304297688,-6567.662353948678,19999.140014648438,52
2023-09-05,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ХОРУГВИНО,FBO,11679.999999999998,5102.289999999998,-7707.12,151.12,-150.0,-46.55,-222.5271098444129,2478.478427608773,760.06,-43.91589119280222,-169.68436096869402,-1971.1122249173534,-47.256787010600654,5102.289999999998,5102.289999999998,1442.06,2478.478427608773,-6550.475198457363,19236.0,52
2023-09-06,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ХОРУГВИНО,FBO,14427.440000000002,6493.959999999999,-9671.68,151.12,-100.0,-64.8,-277.0367657805158,3227.4264412754683,1009.83,-54.67341247063984,-211.24979603234996,-2453.950694651735,-58.83268534673865,6493.959999999999,6493.959999999999,1896.48,3227.4264412754683,-7979.47020444255,23948.0,65
2023-09-07,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ХОРУГВИНО,FBO,14286.619997558591,6156.72999755859,-9520.560000000005,151.12,-150.0,-65.75,-273.65952700991596,2930.0173764952015,966.3200000000002,-54.00691187893452,-208.67453855909832,-2424.03561315066,-58.115480807580404,6156.72999755859,6156.72999755859,1839.2800000000002,2930.0173764952015,-8122.3605496572,23656.059997558594,64
2023-09-08,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ЖУКОВСКИЙ,FBO,11362.12,5114.049999999998,-7556.0,151.12,-50.0,-47.5,-217.1015944297202,2554.2105438206413,787.73,-42.84516167682052,-165.54722407462467,-1923.0538118644192,-46.10460188334075,5114.049999999998,5114.049999999998,1483.38,2554.2105438206413,-6315.757062250433,18767.0,51
2023-09-09,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.2908655984299093,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ЖУКОВСКИЙ,FBO,11490.999999999998,5313.919999999998,-7556.0,0.0,0.0,-48.5,-220.34070811013373,2715.888235634451,724.72,-43.48440317889914,-168.0171565486959,-1951.7454017467678,-46.792473601107865,5313.919999999998,5313.919999999998,1406.7199999999998,2715.888235634451,-6296.231621179942,19047.0,50
2023-09-10,-0.14783633375701627,-0.06931743072480247,-0.187640254998595,0.0,-0.549120654828324,0.0,-0.07918866439119707,2.290865598429909,0.8631470679220493,-0.164954450776813,-0.08541749645359929,0.0,-0.15475106144548656,-0.08106958933405303,479580b8-30b1-4ace-9da1-77649e3c39ee,PC-TWCS-UTP-RJ45-RJ45-C5e-10M-G,"Патч-корд 10 метров, интернет кабель TWIST, RJ-45, категория 5e, UTP, сетевой Enternet Lan для соединения интернета 10 м, серый",ПУШКИНО_1,FBO,13690.919999999998,6003.009999999997,-8916.080000000004,0.0,-150.0,-57.900000000000006,-261.5237249039635,2919.3903172671835,877.6800000000001,-51.61190227675607,-199.42058371903022,-2316.5384731080567,-55.53827115557543,6003.009999999997,6003.009999999997,1682.44,2919.3903172671835,-7678.996727569432,22607.0,59
